CouchBase;Memcached;Mongo;Orient;Redis;Riak;Funkcja;CouchBase;Memcached;Mongo;Orient;Redis;Riak
660;24850;330;8180;1040;2530;;;;;;;
640;25200;940;12310;990;2330;;;;;;;
610;24870;60;13780;920;2920;;;;;;;
830;25260;590;10580;980;2850;;;;;;;
610;25010;560;8210;970;2780;;;;;;;
570;25280;360;8090;1030;2700;;;;;;;
390;24910;380;12700;1040;2970;;;;;;;
400;24970;1130;11320;1040;2890;;;;;;;
560;25070;380;11590;1090;2760;;;;;;;
1070;25650;1260;10110;1030;2890;;;;;;;
860;25110;560;7580;1070;2940;;;;;;;
780;25200;440;8060;960;2470;;;;;;;
550;25290;1000;8190;890;2680;;;;;;;
710;25100;470;10150;1060;3160;;;;;;;
570;25080;650;12420;930;2670;;;;;;;
500;25000;450;8530;930;2710;;;;;;;
700;24990;360;5790;910;2660;;;;;;;
990;25110;520;8600;1210;2700;;;;;;;
440;26660;650;7670;1060;3010;;;;;;;
610;25300;470;11910;1140;2640;;;;;;;
870;25840;480;9800;1030;3310;;;;;;;
530;25250;100;8810;1040;3100;;;;;;;
600;25180;800;6700;1060;3170;;;;;;;
590;27220;800;9120;1000;3010;;;;;;;
640;25050;90;11340;1040;2660;;;;;;;
850;25200;660;10320;1060;3150;;;;;;;
890;25250;560;12780;1040;3080;;;;;;;
610;25120;170;16640;1140;2810;;;;;;;
680;25380;630;16740;1020;2760;;;;;;;
730;24930;100;7650;1150;2830;;;;;;;
440;25080;150;12710;1030;2750;;;;;;;
580;25050;80;13320;980;2710;;;;;;;
520;25530;230;13450;1050;3020;;;;;;;
610;25080;900;7420;1030;2750;;;;;;;
950;25170;1130;11130;1020;2790;;;;;;;
550;25090;840;8980;1040;2840;;;;;;;
660;25140;300;8430;1100;2670;;;;;;;
720;24860;460;9000;1010;2900;;;;;;;
510;25720;200;10510;1030;2850;;;;;;;
570;25090;100;6930;1070;2970;;;;;;;
460;25380;130;8720;930;2740;;;;;;;
800;25190;150;8120;930;2830;;;;;;;
1060;25200;330;11660;990;2850;;;;;;;
760;25160;190;14190;1000;3000;;;;;;;
620;27160;690;7120;950;2820;;;;;;;
1190;27070;1270;6890;1020;2720;;;;;;;
1170;24970;1490;17860;1010;3180;;;;;;;
1390;24950;620;7320;1070;2530;;;;;;;
1290;25130;790;10750;1070;2620;;;;;;;
1230;25220;80;7960;1060;2660;;;;;;;
970;30770;320;6450;1060;2730;;;;;;;
920;28470;170;6520;1170;3010;;;;;;;
860;25200;320;8330;1000;2990;;;;;;;
1280;25350;1150;6750;920;2710;;;;;;;
920;25080;1300;14330;960;2800;;;;;;;
550;27120;380;6150;970;2940;;;;;;;
1040;34300;780;13260;1130;3040;;;;;;;
580;25120;1160;10850;1160;2850;;;;;;;
420;25240;1220;9750;1010;3170;;;;;;;
400;25450;1100;13290;1130;2790;;;;;;;
630;25650;640;14410;1030;2720;;;;;;;
460;31800;1470;9600;1070;2950;;;;;;;
620;31340;600;9920;1070;3060;;;;;;;
450;30960;520;6280;1070;2610;;;;;;;
640;25320;770;6860;1020;2980;;;;;;;
520;26130;660;7570;1000;2650;;;;;;;
460;25190;580;4740;1000;2880;;;;;;;
340;25140;530;9270;1030;2590;;;;;;;
620;25380;540;11790;1060;3050;;;;;;;
670;25130;640;10820;1040;2900;;;;;;;
790;25460;1190;7840;1150;3020;;;;;;;
410;25000;750;7460;960;3280;;;;;;;
340;28040;860;11010;900;2790;;;;;;;
780;25270;100;4100;930;2960;;;;;;;
370;24660;120;5420;970;3120;;;;;;;
540;25020;2530;6620;1030;2650;;;;;;;
650;25040;450;10320;1020;2750;;;;;;;
420;26460;1470;11690;1130;3010;;;;;;;
650;30970;1490;7310;1040;2780;;;;;;;
780;24900;370;5890;1040;3110;;;;;;;
830;24950;820;7960;1060;2870;;;;;;;
560;25020;530;10250;1020;2880;;;;;;;
790;25190;790;6920;1050;2830;;;;;;;
570;25390;360;5970;1060;2490;;;;;;;
760;25280;1060;6730;1090;3070;;;;;;;
790;25100;690;6510;1050;3170;;;;;;;
650;24880;570;7610;1040;2950;;;;;;;
450;26630;120;11700;1030;2730;;;;;;;
360;25380;350;9940;850;2770;;;;;;;
400;25060;600;11570;1070;2490;;;;;;;
790;25230;980;11140;920;2730;;;;;;;
12840;25040;240;9940;940;2910;;;;;;;
1790;24770;530;14240;1010;2970;;;;;;;
2540;24900;540;10410;1020;2420;;;;;;;
760;25160;1450;9030;1060;2660;;;;;;;
420;24840;3010;9120;1070;2580;;;;;;;
460;24780;3240;6610;930;2960;;;;;;;
720;24550;400;11530;1010;2930;;;;;;;
490;24790;700;4950;1070;2740;;;;;;;
350;26690;110;10640;960;2860;;;;;;;
510;25610;1440;14640;970;3120;;;;;;;
600;24960;960;13430;1010;2910;;;;;;;
410;25130;1590;12490;1040;2640;;;;;;;
670;24990;1970;7770;1030;2920;;;;;;;
410;25280;970;6460;1030;3210;;;;;;;
12100;24980;1330;12370;1140;3220;;;;;;;
580;25020;920;12080;1020;2920;;;;;;;
1080;24930;760;9700;1020;2950;;;;;;;
540;26230;900;7050;960;3070;;;;;;;
4010;25510;850;8140;1090;2900;;;;;;;
1810;25550;720;13650;920;2660;;;;;;;
4340;25480;1250;8500;950;2740;;;;;;;
30;25060;940;5510;1110;2730;;;;;;;
4920;25020;140;9970;1090;3000;;;;;;;
900;25840;130;8650;1080;3030;;;;;;;
620;25470;740;6570;1010;2970;;;;;;;
550;25180;300;8470;970;2690;;;;;;;
460;24910;920;10710;940;2390;;;;;;;
380;25370;1010;14540;1070;3820;;;;;;;
1120;24940;590;18990;970;3100;;;;;;;
300;25060;1000;13250;920;3010;;;;;;;
1570;24900;1370;14250;900;2580;;;;;;;
2990;25050;430;9930;1030;3100;;;;;;;
2580;25320;690;11100;1050;2920;;;;;;;
960;24870;640;16990;1040;2750;;;;;;;
550;24690;840;14620;1070;2870;;;;;;;
930;25470;290;13270;1030;3100;;;;;;;
370;24920;480;7410;930;3060;;;;;;;
480;25560;750;6400;1150;3290;;;;;;;
