CouchBase,Memcached,Mongo,Orient,Redis,Riak
660,24380,560,2670,1110,2730,
690,24960,1610,2870,1070,2900,
600,24740,2150,9340,1020,2990,
790,24660,600,6750,1040,2890,
510,24990,1260,8520,1030,2760,
410,24910,2380,8110,1040,3070,
500,24560,2680,8460,1030,3130,
660,25370,1210,8440,1040,2750,
530,24660,2080,10910,1070,2930,
680,25080,500,6090,930,2930,
330,24660,1170,9290,960,2770,
1100,24840,620,10420,1060,3000,
880,24750,460,9430,1030,2510,
770,24770,430,9330,1040,3140,
900,24990,630,16610,1020,2800,
600,25140,3370,4140,1030,2890,
510,24760,1820,15820,1010,2930,
670,25970,960,15390,1010,3090,
650,24920,970,10460,1080,2790,
920,24790,630,11330,1020,2830,
1000,24770,1090,8970,1000,2930,
840,24520,600,11570,1070,2690,
410,24930,1290,4190,1030,2630,
950,24700,510,3160,1040,2910,
800,24820,740,2630,1060,2730,
630,24950,1050,2930,1060,2790,
570,24540,500,3810,930,2890,
730,24760,480,4100,920,2680,
880,25020,1270,8730,990,2730,
930,26220,510,8450,930,2940,
730,27300,1060,8660,900,2580,
710,24970,700,9670,960,2880,
860,24900,1760,6190,930,2890,
820,24970,770,9310,1010,3120,
470,25130,1940,8440,1020,3230,
690,24820,730,6620,1040,3040,
630,26320,350,7320,1040,2710,
630,24990,570,11800,1040,2670,
530,24720,970,8360,1070,2860,
1030,24830,430,8650,1050,2750,
570,25030,1030,9490,1040,2850,
360,24790,360,10180,1050,3220,
450,24740,670,5130,1080,2340,
620,24610,950,9370,1030,2370,
670,24680,2710,7170,980,2680,
560,24760,4200,4230,970,2830,
830,24710,1340,8600,1080,2530,
590,24600,1280,9100,1030,2820,
530,24670,1290,8970,1000,3250,
1000,24720,520,4680,1000,2990,
710,24650,760,3230,960,3160,
870,24650,390,5510,950,2400,
710,24610,850,10010,1100,2560,
890,24400,540,5150,1020,2940,
440,24920,1070,5090,1040,2850,
820,24600,1420,2810,1020,3060,
890,25810,1570,4520,1020,2720,
1090,24390,840,4080,1090,2620,
200,24560,1230,3130,1120,2770,
330,24490,170,2530,1010,3020,
110,24420,1120,7370,1090,2800,
570,24390,1080,8240,1320,2820,
1030,24510,140,3600,890,3020,
640,24650,860,9220,880,2900,
910,24340,1130,7650,930,2900,
820,24410,970,3960,920,3020,
560,24660,900,3800,1060,2930,
590,24540,510,2800,1040,2960,
660,24840,1090,5010,1020,2900,
670,24700,1320,3070,1060,3090,
610,24770,970,2920,980,2990,
400,24900,770,4130,950,2800,
480,25230,1450,2630,950,2890,
830,24830,930,5830,940,3440,
780,24800,970,4100,900,2790,
980,24620,1110,3350,1090,2560,
650,26120,690,8290,1110,2590,
610,26200,1250,10850,1070,3130,
730,24480,500,8670,1060,3490,
690,24490,1870,9100,1050,2860,
560,24690,1390,9900,1030,2650,
370,24570,960,10370,970,2510,
490,25040,840,11580,920,2360,
390,24940,1110,8930,950,2750,
210,24840,1470,8070,970,2940,
320,24470,1290,4860,930,2890,
1600,24500,730,14290,950,2670,
890,24650,1700,10110,870,2770,
670,25230,1120,8910,990,2780,
740,24880,190,6100,1070,2860,
750,24580,410,3190,1060,2870,
630,24640,120,3340,1050,3170,
610,24420,2610,7100,1030,3130,
370,24900,1690,11220,1010,2570,
840,24780,710,10420,1010,2850,
590,25110,1620,11580,1050,2670,
800,26540,610,10500,970,2890,
750,24750,890,4850,860,3220,
580,24780,650,4020,990,2660,
290,25240,1460,8710,1030,2750,
650,26050,770,8480,1080,2760,
490,25330,1140,8480,1060,2750,
470,25290,690,8350,1050,2880,
600,25120,750,8320,880,2840,
210,25260,170,8290,950,2900,
90,24800,900,8240,1000,2840,
710,25020,570,9580,1040,3100,
430,24710,570,10310,1060,2780,
460,24870,1100,9240,1010,3350,
800,24740,1570,8670,1070,3170,
500,24920,550,4860,1020,3260,
420,24740,1250,4280,1030,2890,
670,24930,190,2920,1040,2680,
550,24480,1750,4140,1030,2640,
