CouchBase;Memcached;Mongo;Orient;Redis;Riak;Funkcja;CouchBase;Memcached;Mongo;Orient;Redis;Riak
460;24550;140;12690;1160;2570;;;;;;;
340;22810;110;6250;1070;2640;;;;;;;
520;22910;140;10570;1130;3000;;;;;;;
780;23190;170;8400;1030;3080;;;;;;;
460;23140;170;11540;970;2760;;;;;;;
720;23260;40;12990;1020;2680;;;;;;;
650;23080;780;10540;1010;2760;;;;;;;
640;23070;910;10280;1010;2350;;;;;;;
510;23030;70;7260;1010;2800;;;;;;;
440;23320;460;8930;1020;3230;;;;;;;
940;23080;240;8800;1080;2700;;;;;;;
930;23290;380;8030;1020;2400;;;;;;;
760;22930;800;5650;1050;2550;;;;;;;
890;22870;570;8070;1130;2380;;;;;;;
490;22910;880;8880;1080;2530;;;;;;;
470;23240;410;7790;1110;2560;;;;;;;
770;23170;500;9040;1060;2630;;;;;;;
800;22970;480;10670;1070;2440;;;;;;;
460;23120;570;9820;950;2470;;;;;;;
580;23120;480;9620;890;2520;;;;;;;
690;22990;170;11900;1010;2350;;;;;;;
410;23210;290;10570;1030;2240;;;;;;;
330;22900;660;10940;1000;2650;;;;;;;
190;22980;320;9930;1010;2830;;;;;;;
200;22940;100;10190;1010;3210;;;;;;;
750;22880;690;10790;1000;2710;;;;;;;
960;23140;740;7770;1060;2650;;;;;;;
600;23030;480;9530;1020;2270;;;;;;;
690;22950;970;14680;1000;2460;;;;;;;
880;23040;710;8250;1030;3400;;;;;;;
850;23140;520;9230;1020;2640;;;;;;;
1070;23010;210;10940;1030;2900;;;;;;;
770;23270;130;8180;1000;2880;;;;;;;
730;23220;160;14410;930;2300;;;;;;;
230;23010;740;9080;910;2350;;;;;;;
520;22940;750;12710;950;2710;;;;;;;
1080;23070;780;12130;960;2700;;;;;;;
840;23020;330;8050;910;2880;;;;;;;
870;23090;1300;8240;1020;2780;;;;;;;
600;23000;180;12100;1020;2680;;;;;;;
1140;22930;560;14450;1000;2440;;;;;;;
660;23630;340;12420;1010;3030;;;;;;;
770;24190;40;12800;1010;2900;;;;;;;
1020;22970;540;12120;1030;2650;;;;;;;
870;22910;50;7540;1020;2870;;;;;;;
520;23260;90;12550;1040;2570;;;;;;;
260;24040;3190;13390;1020;2830;;;;;;;
650;24000;710;5390;950;2820;;;;;;;
270;22970;940;8150;1220;2400;;;;;;;
650;23190;420;9940;1100;2440;;;;;;;
500;22900;370;12930;1030;2760;;;;;;;
530;23020;460;7380;1000;2640;;;;;;;
540;22880;140;10090;1040;2700;;;;;;;
840;23220;1000;12110;990;2920;;;;;;;
910;22840;330;15570;910;2800;;;;;;;
1040;23050;120;9270;990;2970;;;;;;;
370;23110;350;9260;1020;3240;;;;;;;
750;22920;820;14880;1070;2810;;;;;;;
820;23250;280;12220;1070;2870;;;;;;;
240;23180;450;9100;1030;3170;;;;;;;
410;22980;150;13690;930;3090;;;;;;;
1320;23070;760;8190;870;2400;;;;;;;
930;23100;690;7310;1000;2680;;;;;;;
580;22800;410;6320;1060;2410;;;;;;;
1030;23050;480;8240;1010;2640;;;;;;;
700;22930;460;10980;1000;2660;;;;;;;
600;23460;460;7590;1030;2790;;;;;;;
760;22820;690;8760;1020;2670;;;;;;;
1070;23460;420;9290;1030;2500;;;;;;;
600;22940;620;11970;1010;2670;;;;;;;
630;23130;560;15390;1020;2460;;;;;;;
330;22750;420;19200;1020;2510;;;;;;;
500;23220;560;13380;1030;2490;;;;;;;
600;23560;310;10530;1080;2740;;;;;;;
620;23110;570;10260;1020;2680;;;;;;;
620;22930;280;10860;1020;2480;;;;;;;
770;23020;300;10460;1010;2560;;;;;;;
680;23010;1260;11910;1000;2820;;;;;;;
1030;23000;350;7160;1010;2720;;;;;;;
720;23240;70;5700;1020;2270;;;;;;;
690;22970;390;11220;1060;2560;;;;;;;
520;23150;290;13350;1010;2960;;;;;;;
480;23150;270;8750;1040;2900;;;;;;;
680;23170;240;9660;1030;3030;;;;;;;
830;24490;720;11990;1030;2620;;;;;;;
570;23240;650;7050;1020;2690;;;;;;;
660;23690;320;4520;1030;2840;;;;;;;
420;23110;970;9930;1020;2830;;;;;;;
500;23130;300;11610;1050;2950;;;;;;;
330;23490;410;6720;1000;2630;;;;;;;
540;22850;330;5180;1010;2710;;;;;;;
620;23220;500;14910;1010;2550;;;;;;;
900;23060;530;11930;1010;2790;;;;;;;
1100;23190;1680;8530;1010;2670;;;;;;;
970;23420;1020;20690;1120;2340;;;;;;;
390;23480;1750;15470;1030;2760;;;;;;;
570;23710;1220;12580;980;2710;;;;;;;
50;24090;440;10020;1010;2840;;;;;;;
570;23260;420;7690;1010;3120;;;;;;;
1620;23150;400;7130;1160;2920;;;;;;;
1800;23110;520;8990;1020;2670;;;;;;;
1150;22960;570;9990;1060;2770;;;;;;;
690;23010;960;8220;1020;2820;;;;;;;
360;23020;1020;9290;1020;2630;;;;;;;
2060;22940;460;6840;1000;2820;;;;;;;
1330;23120;1190;9520;1020;2950;;;;;;;
440;22960;420;13950;1040;2740;;;;;;;
230;23120;450;10130;1050;2710;;;;;;;
570;23220;1500;10550;1010;2520;;;;;;;
540;23180;350;8480;1000;3070;;;;;;;
470;22950;980;8860;1020;2920;;;;;;;
770;22850;1010;7480;1010;2650;;;;;;;
1150;23130;360;11750;1120;2420;;;;;;;
1580;23060;640;12080;1020;2300;;;;;;;
1600;23330;460;11360;1070;2680;;;;;;;
1320;23390;910;7290;960;2630;;;;;;;
960;23070;450;6330;890;2310;;;;;;;
1110;23460;90;12610;960;2630;;;;;;;
750;23070;370;8100;960;2950;;;;;;;
620;23240;780;7680;940;2790;;;;;;;
990;23310;70;10650;1000;2870;;;;;;;
820;23150;360;7010;1010;2740;;;;;;;
970;22870;780;7380;1090;2840;;;;;;;
580;22690;1220;6050;1000;2740;;;;;;;
710;23160;610;13530;1000;3200;;;;;;;
420;22860;360;6620;890;2690;;;;;;;
410;23650;910;7050;940;2810;;;;;;;
470;23950;340;7270;900;2420;;;;;;;
570;23200;560;7480;930;2390;;;;;;;
1030;23440;1510;7510;920;2670;;;;;;;
760;23210;390;7810;980;2950;;;;;;;
1110;23050;1030;11200;1120;3470;;;;;;;
620;22810;60;7910;1010;3050;;;;;;;
520;23070;110;8490;1030;2710;;;;;;;
510;22980;480;19420;1150;2710;;;;;;;
1330;22980;250;12940;1000;3340;;;;;;;
540;23000;810;7850;1020;2860;;;;;;;
880;23000;560;14540;980;2780;;;;;;;
900;22950;770;10740;1010;2680;;;;;;;
610;23370;750;7560;1040;2640;;;;;;;
520;22960;360;6870;1030;2540;;;;;;;
580;23040;340;8010;1150;2470;;;;;;;
430;23340;650;12190;1010;2720;;;;;;;
580;23310;400;9450;1010;2590;;;;;;;
890;23350;900;6850;1020;2360;;;;;;;
750;24820;380;7380;1060;2450;;;;;;;
490;32980;390;6670;900;2570;;;;;;;
610;26580;1090;9990;990;2520;;;;;;;
730;22930;350;11980;920;2590;;;;;;;
460;23350;920;8250;940;2710;;;;;;;
570;23140;950;6430;1000;2580;;;;;;;
680;22840;520;5930;1030;2510;;;;;;;
600;23370;290;7770;1020;2720;;;;;;;
40;23100;210;8310;920;2720;;;;;;;
520;22980;1430;7150;1010;2740;;;;;;;
1040;23240;660;6400;1010;2860;;;;;;;
1010;22780;100;8760;1050;3050;;;;;;;
850;23240;90;7010;1000;2410;;;;;;;
870;22960;830;7270;950;2440;;;;;;;
530;23120;80;10650;1040;2580;;;;;;;
1160;22980;260;11260;1050;2560;;;;;;;
840;23330;70;10720;1010;3050;;;;;;;
470;22640;750;9490;1020;2960;;;;;;;
300;23350;790;7230;1010;2760;;;;;;;
690;23020;670;13710;1000;2650;;;;;;;
660;22960;830;13770;960;2530;;;;;;;
650;23050;390;11530;1220;2640;;;;;;;
960;23240;550;8640;1020;2730;;;;;;;
520;24620;430;7260;1040;2850;;;;;;;
700;22940;360;8700;950;2750;;;;;;;
740;23290;1160;10880;950;2610;;;;;;;
720;23000;540;6520;1040;2470;;;;;;;
610;23090;740;12200;1000;2620;;;;;;;
