CouchBase;Memcached;Mongo;Orient;Redis;Riak;;CouchBase;Memcached;Mongo;Orient;Redis;Riak
510;0;3540;3810;70;25800;;;;;;;
430;0;5010;2270;60;26020;;;;;;;
720;20;3390;5340;20;35720;;;;;;;
600;10;5140;2580;80;37160;;;;;;;
530;60;4710;3850;60;35390;;;;;;;
550;10;4900;2480;80;35210;;;;;;;
470;60;3460;3140;100;38020;;;;;;;
500;0;2970;2910;140;33840;;;;;;;
600;30;5440;2460;100;34400;;;;;;;
460;20;3530;2020;20;31630;;;;;;;
410;20;4250;2350;80;40520;;;;;;;
430;10;3700;3960;90;34640;;;;;;;
420;20;3440;2100;70;41130;;;;;;;
380;50;4540;2190;50;33490;;;;;;;
480;0;5460;2890;40;34180;;;;;;;
400;10;5240;2310;150;33860;;;;;;;
450;40;3620;2610;40;31110;;;;;;;
550;0;4430;3540;40;33230;;;;;;;
590;20;5580;2290;90;30550;;;;;;;
560;20;3640;3370;30;27840;;;;;;;
590;40;6450;2730;30;35960;;;;;;;
570;0;3390;2280;40;31840;;;;;;;
550;20;4020;2370;180;27900;;;;;;;
450;10;5370;2370;160;34340;;;;;;;
440;20;4840;2580;70;29780;;;;;;;
350;30;3240;2380;40;28110;;;;;;;
480;30;3260;2640;270;30750;;;;;;;
550;10;3810;2430;40;33560;;;;;;;
380;40;4260;4960;30;34450;;;;;;;
450;50;3700;3740;100;30090;;;;;;;
580;20;4130;2340;0;28780;;;;;;;
420;20;3750;2090;20;32580;;;;;;;
490;10;3630;1900;60;30850;;;;;;;
610;20;5000;2290;70;27430;;;;;;;
420;10;4550;2590;80;29430;;;;;;;
480;20;3640;2510;50;31200;;;;;;;
360;10;2810;2830;70;35490;;;;;;;
500;20;3510;3760;50;33910;;;;;;;
620;10;3150;2880;80;30670;;;;;;;
530;10;5610;3810;310;33800;;;;;;;
790;0;4000;3180;290;32850;;;;;;;
400;10;3930;2930;70;30140;;;;;;;
460;20;3730;3140;40;31820;;;;;;;
440;10;2650;2030;110;32020;;;;;;;
510;30;3750;2690;40;34670;;;;;;;
610;50;4740;2350;20;34820;;;;;;;
410;60;3470;3370;40;29990;;;;;;;
500;20;4210;3630;40;26370;;;;;;;
570;60;2810;2270;40;26700;;;;;;;
500;40;3320;3820;60;29180;;;;;;;
500;0;4420;2680;30;27610;;;;;;;
560;10;3640;1680;20;29050;;;;;;;
310;0;5090;2470;20;29620;;;;;;;
410;20;3230;1920;30;28440;;;;;;;
580;0;4350;2040;80;27890;;;;;;;
450;0;4410;1410;10;24840;;;;;;;
520;20;3800;2040;20;28500;;;;;;;
590;30;4930;2300;50;29120;;;;;;;
540;10;2830;2050;50;26840;;;;;;;
570;0;4290;2110;40;29760;;;;;;;
600;0;3360;2120;260;28560;;;;;;;
630;20;3390;2390;110;28530;;;;;;;
500;30;3610;2260;30;29950;;;;;;;
470;120;3720;2530;20;27150;;;;;;;
560;0;3820;2110;120;30330;;;;;;;
630;20;2950;1850;80;26740;;;;;;;
650;40;3790;1930;60;25080;;;;;;;
580;10;3210;2190;50;27870;;;;;;;
600;0;4630;3200;60;29800;;;;;;;
510;40;3390;1800;50;27750;;;;;;;
430;20;3100;2730;80;28980;;;;;;;
660;20;4210;2100;60;26270;;;;;;;
780;0;3930;2110;70;27870;;;;;;;
570;40;3460;2530;60;53720;;;;;;;
660;30;5420;1970;70;53380;;;;;;;
730;10;4200;1660;40;65770;;;;;;;
720;10;1990;1800;30;53760;;;;;;;
650;40;2430;1280;20;50640;;;;;;;
540;20;4810;2600;80;50400;;;;;;;
570;30;10210;1390;80;47240;;;;;;;
480;0;9080;1950;50;49380;;;;;;;
700;40;3620;2950;30;61700;;;;;;;
530;40;3120;2060;80;75600;;;;;;;
570;10;4020;1410;50;48100;;;;;;;
710;60;4040;1810;40;35830;;;;;;;
520;40;3590;1410;90;31880;;;;;;;
490;40;6670;1560;60;31610;;;;;;;
380;0;2700;1570;110;28830;;;;;;;
620;30;3310;1850;130;28230;;;;;;;
530;30;3670;2030;290;27030;;;;;;;
530;0;1800;2190;40;30840;;;;;;;
580;30;2770;2070;90;26850;;;;;;;
920;20;3530;1710;150;28580;;;;;;;
380;0;5570;1740;30;33340;;;;;;;
610;20;3310;1710;60;27410;;;;;;;
490;30;5430;1360;80;27700;;;;;;;
490;20;4330;1710;40;27930;;;;;;;
470;60;3680;1490;50;28510;;;;;;;
480;30;3250;1680;110;28050;;;;;;;
450;0;4170;1350;50;29480;;;;;;;
480;60;3840;1650;20;27010;;;;;;;
660;30;3700;1760;40;28520;;;;;;;
570;20;3210;1700;70;29080;;;;;;;
580;50;4540;1310;110;27990;;;;;;;
600;10;2610;1560;40;26490;;;;;;;
570;70;2670;1810;30;25730;;;;;;;
440;0;2040;1890;40;26780;;;;;;;
340;40;3240;1580;170;28840;;;;;;;
570;0;2410;1660;80;29370;;;;;;;
560;60;3110;1450;80;30310;;;;;;;
500;10;3570;1580;40;28300;;;;;;;
570;10;2550;2580;30;30480;;;;;;;
380;20;3770;2670;60;28820;;;;;;;
570;30;4830;1310;60;29480;;;;;;;
730;30;2650;1340;70;26550;;;;;;;
430;10;4120;1470;10;27890;;;;;;;
810;40;4490;1410;70;28150;;;;;;;
510;20;4490;2570;40;27300;;;;;;;
510;40;4460;1040;30;30390;;;;;;;
720;40;11400;1650;60;25840;;;;;;;
640;30;12460;2020;110;27900;;;;;;;
670;10;10710;1330;20;28700;;;;;;;
590;50;14270;1260;90;26030;;;;;;;
750;40;12780;2120;120;30990;;;;;;;
610;20;13220;1120;140;27730;;;;;;;
720;0;12040;1490;40;25970;;;;;;;
670;30;10820;1550;80;27220;;;;;;;
520;40;11530;1110;180;27080;;;;;;;
620;20;9210;1160;90;27720;;;;;;;
480;10;9920;1530;50;27530;;;;;;;
610;0;11340;1150;50;30630;;;;;;;
350;20;9590;2150;90;25870;;;;;;;
590;0;7630;880;60;28040;;;;;;;
390;10;9650;1810;30;26840;;;;;;;
400;30;9590;1650;40;26550;;;;;;;
740;0;7820;1220;60;28620;;;;;;;
510;20;9190;1520;60;26570;;;;;;;
460;20;6580;1380;60;36750;;;;;;;
480;30;8420;1410;70;26090;;;;;;;
410;20;9950;1240;80;26730;;;;;;;
290;10;7920;1520;30;25600;;;;;;;
530;20;8460;1800;100;26620;;;;;;;
480;60;8630;1360;60;24910;;;;;;;
720;100;6700;1370;40;25730;;;;;;;
690;20;9300;1290;120;25340;;;;;;;
460;40;6870;2190;60;24880;;;;;;;
620;30;6840;2950;20;27210;;;;;;;
590;0;8030;2250;30;25500;;;;;;;
600;40;6520;2440;60;26840;;;;;;;
470;10;5720;1500;50;29350;;;;;;;
420;0;6410;1420;130;34600;;;;;;;
550;0;6610;1470;80;35940;;;;;;;
490;10;5550;1910;130;36100;;;;;;;
620;10;5480;1520;60;31140;;;;;;;
520;10;7620;1550;30;28120;;;;;;;
620;20;4090;1430;210;29100;;;;;;;
540;20;4620;1760;110;30200;;;;;;;
580;40;4550;1570;10;30470;;;;;;;
520;20;5170;1730;110;30300;;;;;;;
500;10;5430;2170;60;29480;;;;;;;
630;20;2950;1510;40;30290;;;;;;;
470;60;6710;1310;50;27970;;;;;;;
490;80;6060;1120;50;27980;;;;;;;
