CouchBase;Memcached;Mongo;Orient;Redis;Riak;Funkcja;CouchBase;Memcached;Mongo;Orient;Redis;Riak
3400;26590;2290;6410;1580;5020;;;;;;;
2780;26580;2220;10020;1420;4700;;;;;;;
2800;27680;2700;14000;1780;5130;;;;;;;
3120;26250;3510;9050;1410;4900;;;;;;;
2210;26580;1820;10090;1530;4670;;;;;;;
2570;26030;1580;14330;1460;4870;;;;;;;
3120;26180;1530;10110;1640;4930;;;;;;;
4000;25830;1700;8070;1290;5230;;;;;;;
3630;25890;1690;11390;1390;4760;;;;;;;
3170;26250;2580;8060;1500;4740;;;;;;;
2140;25990;1490;6900;1480;5120;;;;;;;
2570;25950;1810;7530;1420;5160;;;;;;;
2750;26030;3400;5700;1440;4690;;;;;;;
2220;25920;3660;6580;1580;5110;;;;;;;
2730;25920;2640;8070;1480;5560;;;;;;;
2620;25790;1610;9120;1710;6800;;;;;;;
3120;26170;1680;10730;1460;6670;;;;;;;
2400;26110;1580;8130;1430;5660;;;;;;;
3570;25710;1510;13070;1390;4710;;;;;;;
2930;26230;2110;13920;1430;4800;;;;;;;
2520;26540;1370;6580;1540;4680;;;;;;;
3140;26250;3430;9350;1380;4770;;;;;;;
2960;26650;1460;7040;1460;4630;;;;;;;
3510;26270;1710;7680;1260;4840;;;;;;;
2030;26360;2030;12010;1300;5300;;;;;;;
2260;26540;1630;17200;1310;6910;;;;;;;
2820;26570;1700;5900;1210;5220;;;;;;;
2520;26420;3010;6680;1300;5440;;;;;;;
2390;27160;1260;4840;1510;5270;;;;;;;
2110;26370;2080;13030;1440;5090;;;;;;;
2170;26110;2790;8720;1360;4900;;;;;;;
2180;26330;1820;6680;1400;5000;;;;;;;
1850;28700;2970;10910;1530;4970;;;;;;;
2230;26160;2290;12490;1350;4750;;;;;;;
3330;27210;3960;12630;1600;4760;;;;;;;
2320;26400;1890;11890;1400;5390;;;;;;;
2090;26030;1410;11400;1420;5170;;;;;;;
2520;26650;2100;14410;1430;5150;;;;;;;
3160;26610;1770;6940;1450;5320;;;;;;;
2590;27000;1940;8820;1370;5330;;;;;;;
3230;27840;2700;7780;1140;4850;;;;;;;
3170;26270;1610;7260;1170;4710;;;;;;;
2710;26400;1730;5240;1380;4970;;;;;;;
2640;26210;2240;7020;1520;4850;;;;;;;
2110;27340;2110;5830;1650;4940;;;;;;;
3070;26790;1640;13560;1230;4520;;;;;;;
3290;27040;3250;8550;1110;4890;;;;;;;
2750;26270;2230;18560;1120;4650;;;;;;;
4490;26260;1580;16160;1150;4850;;;;;;;
2410;26530;1450;21500;1170;4660;;;;;;;
2300;26110;2810;17850;1170;5480;;;;;;;
2680;26340;1110;10920;1180;4720;;;;;;;
1830;26790;1730;8240;1370;4740;;;;;;;
2490;26120;2880;11840;1460;5180;;;;;;;
2560;26710;3510;6940;1480;5180;;;;;;;
2310;26200;3080;3260;1510;4890;;;;;;;
2100;26510;1810;4220;1480;4980;;;;;;;
2080;26110;1980;11670;1560;5240;;;;;;;
2480;26160;2280;12550;1420;4950;;;;;;;
4460;26240;1780;11310;1430;4550;;;;;;;
4510;27630;1140;5380;1240;4840;;;;;;;
2930;26180;1760;5580;1310;5660;;;;;;;
2020;26260;2260;8590;1160;5010;;;;;;;
2140;26420;2330;10840;1410;4920;;;;;;;
2570;28210;1610;13680;1290;4870;;;;;;;
2850;26980;2600;8120;1470;5470;;;;;;;
2840;28090;3180;13910;1420;4900;;;;;;;
1770;27410;3150;9940;1450;4530;;;;;;;
1730;27560;3160;11790;1490;4590;;;;;;;
2960;26260;3510;11450;1380;5260;;;;;;;
2210;26500;5970;13150;1480;4750;;;;;;;
2620;26520;3320;10910;1320;4870;;;;;;;
2060;26600;2240;14000;1170;4780;;;;;;;
2590;26090;2530;14390;1370;5210;;;;;;;
3060;26390;3260;12720;1540;4950;;;;;;;
2030;26590;2250;13300;1240;4880;;;;;;;
2160;30190;3870;6390;1170;5100;;;;;;;
2680;26370;2420;5020;1220;4950;;;;;;;
2520;26990;2220;7460;1130;4750;;;;;;;
2460;26090;3480;5820;1210;6660;;;;;;;
2500;26600;5610;5300;1290;5200;;;;;;;
2010;26270;4520;5670;1500;4840;;;;;;;
1920;26130;2260;4580;1410;4310;;;;;;;
1720;26310;3170;5600;1440;4790;;;;;;;
2300;26060;2180;9430;1420;4900;;;;;;;
1760;27250;1190;13760;1190;4730;;;;;;;
2210;26170;2380;7630;1400;4770;;;;;;;
2810;27580;1150;5190;1490;5110;;;;;;;
2210;26570;2480;7450;1400;5240;;;;;;;
3340;26610;3680;3650;1450;4860;;;;;;;
3050;26360;3030;4810;1460;4770;;;;;;;
2820;26880;2710;5690;1370;5150;;;;;;;
3880;26530;2460;7690;1430;4810;;;;;;;
3620;26320;2930;3520;1400;4930;;;;;;;
2830;26640;1860;7710;1470;4960;;;;;;;
2210;26320;1980;12440;1430;5080;;;;;;;
1970;26360;3600;5020;1510;5090;;;;;;;
2090;26650;1550;5400;1530;5120;;;;;;;
1800;26290;3460;4420;1370;5130;;;;;;;
1600;26320;1210;4410;1560;4880;;;;;;;
1790;25780;2100;4220;1480;4980;;;;;;;
1690;26300;2770;7940;1410;4770;;;;;;;
1380;26090;1680;14720;1450;5050;;;;;;;
2410;26000;2130;10230;1460;4720;;;;;;;
1810;26610;1480;9080;1440;4810;;;;;;;
1990;26750;2310;11230;1850;4850;;;;;;;
1670;26050;2250;3440;1560;4970;;;;;;;
1900;26510;1830;3760;1330;4740;;;;;;;
1780;26500;2540;4090;1440;4680;;;;;;;
3410;26650;3750;5790;1440;4670;;;;;;;
3020;26040;1450;6470;1430;5050;;;;;;;
3110;26440;1280;7120;1360;5090;;;;;;;
2310;26280;2570;9760;1210;4450;;;;;;;
1670;28480;1890;4670;1170;5120;;;;;;;
1510;26800;1640;5760;1190;5040;;;;;;;
1700;26540;1550;10070;1270;5330;;;;;;;
1880;26070;2940;10230;1230;4860;;;;;;;
2000;26170;2660;9370;1600;5430;;;;;;;
1620;26290;2060;5560;1390;4690;;;;;;;
2290;26770;3290;9250;1770;4540;;;;;;;
2200;27800;1440;10780;1130;4820;;;;;;;
1340;26380;3860;10380;1130;5250;;;;;;;
2550;27040;2540;6770;1230;5150;;;;;;;
2020;26270;2150;5320;1260;4820;;;;;;;
3390;26320;4150;3770;1440;5080;;;;;;;
2080;26610;2800;12120;1550;4970;;;;;;;
1340;26130;2050;8500;1490;4830;;;;;;;
1380;26150;2180;7420;1520;4330;;;;;;;
2490;25950;2360;9530;1340;4700;;;;;;;
2090;26490;3200;10690;1430;5180;;;;;;;
2000;26210;1610;10290;1320;4860;;;;;;;
2240;26100;2090;11710;1370;5040;;;;;;;
2380;25940;3140;13650;1420;5260;;;;;;;
2390;26260;1940;6730;1400;5290;;;;;;;
2250;26440;1690;5940;1490;5010;;;;;;;
2210;26380;3820;14340;1560;4780;;;;;;;
1430;25950;3700;9590;2040;4850;;;;;;;
2090;26280;2940;13500;1790;5420;;;;;;;
2200;26450;1620;13470;1420;4690;;;;;;;
2130;27680;1920;8370;1270;4930;;;;;;;
2250;26370;3090;3600;1230;4810;;;;;;;
3360;25700;1260;9810;1890;4950;;;;;;;
2190;26230;2010;4250;1520;4980;;;;;;;
3070;26240;2320;6700;1520;4770;;;;;;;
2060;26570;1860;4730;1180;5140;;;;;;;
2280;26450;1530;7670;1270;4860;;;;;;;
2470;25910;1500;11810;1350;4670;;;;;;;
2340;26180;3780;9860;1470;4980;;;;;;;
1920;26210;1690;9350;3090;5660;;;;;;;
1650;26610;1940;5500;1110;5040;;;;;;;
2020;26390;5280;11310;1130;4990;;;;;;;
1930;28170;2330;5850;1510;5410;;;;;;;
2060;26400;3780;5200;1430;5590;;;;;;;
2610;26220;2930;4390;1420;4870;;;;;;;
1860;26350;3240;5510;1300;5110;;;;;;;
2100;26840;2790;10380;1480;4970;;;;;;;
2170;26420;5370;9920;1470;5120;;;;;;;
1540;27690;2420;11200;1480;4710;;;;;;;
2120;26480;2980;15270;1410;4780;;;;;;;
2450;26590;2500;11870;1400;5010;;;;;;;
2010;26400;2390;13370;1410;5590;;;;;;;
1560;26560;1700;12580;1410;4620;;;;;;;
2830;26480;2830;11690;1390;4930;;;;;;;
2300;26900;3630;11010;1410;4960;;;;;;;
2070;28590;2510;11140;1350;4730;;;;;;;
2630;26990;2650;9250;1340;4800;;;;;;;
2200;29070;2650;8950;1560;5010;;;;;;;
2750;26300;3490;5570;1430;4620;;;;;;;
2250;26610;1900;13180;1250;4900;;;;;;;
3180;26710;1540;9780;1360;4870;;;;;;;
2050;26100;2910;6550;1350;5150;;;;;;;
2530;26660;1910;4050;1340;4830;;;;;;;
2210;26290;2280;4000;1390;4880;;;;;;;
2370;26560;1420;4540;1410;5230;;;;;;;
2160;26900;2430;4480;1430;4890;;;;;;;
1910;26450;2690;7430;1340;4920;;;;;;;
2010;26310;1430;5460;1350;4810;;;;;;;
1970;26530;3450;6040;1470;5130;;;;;;;
2110;26280;1860;10290;1380;4830;;;;;;;
1950;26320;2070;12570;1340;4800;;;;;;;
1880;26130;1970;12430;1320;5070;;;;;;;
1940;26150;1850;11830;1250;5050;;;;;;;
1860;26420;1680;11430;1310;5270;;;;;;;
2030;25770;2190;9940;1270;4980;;;;;;;
2210;26470;1480;5910;1490;4750;;;;;;;
