CouchBase;Memcached;Mongo;Orient;Redis;Riak;Funkcja;CouchBase;Memcached;Mongo;Orient;Redis;Riak
1420;24700;3490;18000;1310;5760;;;;;;;
1360;25870;4430;9220;1340;5390;;;;;;;
1750;24530;2830;10520;1320;5580;;;;;;;
1860;24970;2840;7980;1360;5540;;;;;;;
2940;24390;1030;13580;1210;4900;;;;;;;
1310;25000;3450;8180;1240;5730;;;;;;;
2240;24250;2520;9440;1280;5520;;;;;;;
2000;24550;1500;6750;1230;5180;;;;;;;
2380;24500;1300;16400;1340;4880;;;;;;;
1620;24580;1800;9040;1200;5020;;;;;;;
1770;24700;3640;8740;1190;5030;;;;;;;
2600;24360;2790;8270;1430;4750;;;;;;;
2840;24510;5790;8940;1340;4870;;;;;;;
2060;24620;3290;10260;1400;5390;;;;;;;
2020;24460;2380;15850;1320;5200;;;;;;;
2130;24340;2320;9620;1350;4400;;;;;;;
2620;24670;2120;7390;1340;5830;;;;;;;
2270;24660;1200;13120;1360;7800;;;;;;;
3120;24730;1140;11600;1280;6840;;;;;;;
2050;24580;2540;9170;1390;6050;;;;;;;
2090;24630;3340;10280;1400;5480;;;;;;;
1780;24510;1160;7990;1330;4860;;;;;;;
2020;24780;1670;8080;1300;5360;;;;;;;
1670;24390;1890;8400;1290;5160;;;;;;;
1600;24290;3200;6520;1470;5940;;;;;;;
2030;24690;1560;9200;1320;5040;;;;;;;
1890;25060;2370;7350;1280;28820;;;;;;;
1510;24920;2090;8780;1300;5090;;;;;;;
2220;24980;2590;6720;1340;4530;;;;;;;
2240;24860;2590;8490;1210;4780;;;;;;;
2120;24550;940;13420;1040;4700;;;;;;;
1930;24750;1370;9000;1200;4970;;;;;;;
2900;24670;3310;7770;1050;4610;;;;;;;
2880;24580;4270;10680;1080;4990;;;;;;;
3030;24410;1130;9250;1380;5290;;;;;;;
2260;24690;2860;6220;1460;4830;;;;;;;
2470;24590;2070;6740;1250;4760;;;;;;;
1760;26430;3340;7990;1260;4420;;;;;;;
1850;24560;1000;6980;1340;4970;;;;;;;
1600;24470;3560;9210;1270;5050;;;;;;;
1440;24770;2280;8560;1300;5020;;;;;;;
1910;24700;2340;12000;1230;4490;;;;;;;
1790;24720;3130;14750;1050;5350;;;;;;;
2070;24600;1200;8790;1030;4920;;;;;;;
1890;24800;2350;7220;1280;4800;;;;;;;
1850;25200;3120;7770;1380;5310;;;;;;;
2240;25700;1790;15800;1340;5090;;;;;;;
1940;24460;7410;17570;1490;5530;;;;;;;
1990;25640;6650;13290;1320;5150;;;;;;;
1670;24590;4340;16110;1260;4920;;;;;;;
1710;25120;7040;15370;1300;5530;;;;;;;
1760;24530;2290;7520;1270;4930;;;;;;;
2140;24780;1610;14390;1480;4860;;;;;;;
2180;24860;1520;11260;1340;4930;;;;;;;
1620;24730;1550;7010;1290;4660;;;;;;;
1960;24610;3600;8630;1440;4350;;;;;;;
2180;24870;3320;7740;1430;4870;;;;;;;
2410;24770;8460;7090;1300;5040;;;;;;;
1930;24740;3750;13700;1230;4920;;;;;;;
2020;24450;6620;13270;1430;4670;;;;;;;
1890;24600;1920;13950;1550;5340;;;;;;;
2180;24630;2730;6290;1290;5360;;;;;;;
2000;24800;3750;14470;1420;4830;;;;;;;
1670;24560;1990;11380;1110;5130;;;;;;;
1790;24830;2970;8640;1090;5450;;;;;;;
2300;24550;3860;6570;1160;4940;;;;;;;
1580;24490;2320;7310;1470;4710;;;;;;;
1640;24730;4070;5980;1500;5230;;;;;;;
1470;24280;3320;7750;1320;5190;;;;;;;
2070;24530;2390;13190;1130;5020;;;;;;;
2040;24450;1730;13530;1440;4580;;;;;;;
1710;24790;2710;12500;1200;5150;;;;;;;
2350;24890;1400;15080;1090;6760;;;;;;;
2130;24790;3690;13870;1120;4570;;;;;;;
2660;24530;2320;17010;1070;5040;;;;;;;
1200;24320;1760;6610;1170;5050;;;;;;;
2520;26970;2760;15110;1180;5090;;;;;;;
2610;24660;2860;14750;1410;4350;;;;;;;
1780;24950;3700;10530;1380;4720;;;;;;;
1750;24790;2690;13180;1420;5440;;;;;;;
1600;24470;4860;9110;1310;4980;;;;;;;
1560;24930;2890;6930;1360;5070;;;;;;;
1840;25110;2820;7160;1310;5130;;;;;;;
1810;24590;1590;12800;1390;4840;;;;;;;
1410;24500;1280;15330;1330;5090;;;;;;;
1490;24790;2270;9980;1330;4700;;;;;;;
1480;24610;1110;8240;1630;4670;;;;;;;
2370;24960;3030;7980;1430;5120;;;;;;;
1650;24460;4180;9650;1300;4960;;;;;;;
1930;24670;3370;8740;1380;4900;;;;;;;
1530;24510;2070;11740;1320;5080;;;;;;;
2570;24460;4180;14030;1260;5020;;;;;;;
2210;25400;3720;16370;1340;4910;;;;;;;
12120;25900;3290;10430;1260;5170;;;;;;;
1080;24680;3000;9330;1170;5060;;;;;;;
4270;25370;1190;13300;1190;4890;;;;;;;
1520;24680;4240;7720;1070;4960;;;;;;;
2010;25280;4290;7230;1080;5650;;;;;;;
1880;24560;5000;8960;1110;4990;;;;;;;
1710;24440;4080;7300;1270;4970;;;;;;;
1680;25320;2360;8620;1060;4730;;;;;;;
1750;24850;3160;6750;1080;5860;;;;;;;
1980;24630;3210;10320;1070;4900;;;;;;;
1810;24630;3130;7900;1450;5040;;;;;;;
1640;24880;3120;9190;1380;5210;;;;;;;
1690;25130;4530;8870;1280;5260;;;;;;;
2080;24780;4270;8210;1090;5500;;;;;;;
1600;24540;1940;9680;1080;4600;;;;;;;
1780;24780;3610;9880;1490;5010;;;;;;;
1800;24450;3640;9960;1280;4890;;;;;;;
1870;24870;2780;13570;1060;5330;;;;;;;
1860;24690;1220;13930;1240;4590;;;;;;;
2190;24790;4780;17440;1230;5290;;;;;;;
1720;24850;2520;15260;1240;4920;;;;;;;
2470;24440;3190;17660;1140;5170;;;;;;;
2040;24510;2340;13730;1400;4900;;;;;;;
1390;26370;3460;8240;1290;5430;;;;;;;
2200;24490;3150;9590;1230;4910;;;;;;;
2100;24580;1350;9300;1240;4830;;;;;;;
2130;24570;1980;8220;1400;5600;;;;;;;
1590;24710;3690;8430;1360;4820;;;;;;;
1650;24670;1910;7780;1360;4890;;;;;;;
1960;24690;1610;7350;1200;4860;;;;;;;
2440;24620;4220;9380;1290;5260;;;;;;;
1680;25010;2830;17470;1280;4740;;;;;;;
1690;24570;2160;19600;1370;5210;;;;;;;
1720;24860;2090;18370;1290;5060;;;;;;;
1950;24880;2040;14350;1430;5640;;;;;;;
2070;24750;2460;9660;1620;4830;;;;;;;
2310;24680;3050;13600;1360;4480;;;;;;;
1610;25080;1920;7000;1350;4740;;;;;;;
2010;24600;2400;12910;1480;5840;;;;;;;
1760;24870;7370;10870;1320;5340;;;;;;;
1830;24720;2070;8550;1250;5190;;;;;;;
1710;24660;2860;7190;1380;5340;;;;;;;
1970;24650;3840;16960;1330;5750;;;;;;;
2030;24340;3290;8740;1340;4830;;;;;;;
1830;24590;3220;6330;1450;4780;;;;;;;
1400;24880;3040;7990;1280;4920;;;;;;;
1470;25780;1180;10460;1170;4920;;;;;;;
1810;25990;2490;17040;1050;4860;;;;;;;
1510;24860;2540;18900;1060;4990;;;;;;;
1600;25180;1130;14060;1120;4900;;;;;;;
1810;24700;2290;14390;1030;5030;;;;;;;
2680;24900;4000;8820;1270;4840;;;;;;;
1990;24740;1500;7630;1330;5320;;;;;;;
1880;24620;12440;7190;1380;4950;;;;;;;
2110;25450;6350;11340;1350;5040;;;;;;;
2100;25140;4130;7980;1310;5070;;;;;;;
1540;24800;4530;9520;1280;5020;;;;;;;
1760;24850;2270;8920;1360;5320;;;;;;;
1630;24590;4500;6460;1320;5010;;;;;;;
1790;24620;2680;8290;1410;5470;;;;;;;
1550;24630;2010;7120;1260;5210;;;;;;;
1390;24730;2160;12340;1160;4780;;;;;;;
1960;26490;1770;9750;1590;5040;;;;;;;
1770;24800;2670;12150;1330;5270;;;;;;;
1600;24680;2920;12040;1270;5140;;;;;;;
1890;24340;990;12530;1230;4970;;;;;;;
1540;24620;1490;8550;1340;5260;;;;;;;
1730;24720;4150;6730;1410;5070;;;;;;;
1930;24550;3450;8750;1410;4960;;;;;;;
1620;24440;3180;15250;1410;5420;;;;;;;
1460;24410;1290;11230;1360;5160;;;;;;;
1310;24540;3860;10620;1310;4950;;;;;;;
1340;24780;1990;8970;1430;5220;;;;;;;
