CouchBase,Memcached,Mongo,Orient,Redis,Riak
650,2490,3740,2290,210,35570,
580,2750,5650,2860,240,34540,
1670,2630,3420,2540,240,33810,
680,2420,2110,1830,160,34760,
660,2390,1900,3040,200,32110,
670,2590,3290,2360,140,38130,
750,2570,3190,2040,220,34430,
880,2400,2620,1870,170,32500,
630,2790,3130,2080,160,38650,
810,2600,1600,2090,210,35150,
840,2540,2940,2900,170,32340,
610,2590,3200,2160,190,35640,
700,2490,2110,2060,180,37020,
390,2510,2740,2060,180,35860,
490,2500,2030,2450,230,30110,
570,2680,2050,1940,270,35120,
570,3090,2470,2420,270,29180,
340,2520,1660,2190,250,31530,
690,2560,2710,1480,280,39550,
400,2470,2730,2910,280,36620,
570,2580,4330,1670,200,38300,
830,2590,2570,3080,150,39450,
730,2710,1350,2340,180,35180,
850,2470,1280,2500,200,38330,
710,2760,1460,2640,220,33630,
700,2660,1880,2450,190,35310,
390,2590,3260,4340,200,36730,
710,2590,2300,3400,190,35160,
580,2580,2560,2590,180,33690,
850,2670,4120,3250,230,32770,
580,2720,1940,4390,170,30400,
460,2440,2710,2570,200,32010,
790,2480,2140,3950,210,31660,
500,2630,2970,3700,190,32270,
770,2530,6580,4470,230,37850,
740,2490,3390,4200,250,29700,
560,2830,900,2960,180,31010,
780,2610,2430,2770,210,30710,
870,2580,3510,3110,220,36340,
800,2510,2940,2700,180,31340,
540,2580,2670,4440,240,30290,
670,2470,1580,3370,300,29730,
530,2520,2240,2680,160,31190,
660,2730,1160,2510,220,29760,
580,2710,2060,2210,320,31200,
910,2660,1420,2040,190,25530,
620,2730,2990,2270,220,30440,
590,2400,2510,2220,220,33700,
640,2460,2530,4590,240,33230,
480,2620,2560,3150,250,29390,
680,2460,2670,5060,180,31160,
470,2740,1930,5600,190,32360,
600,2500,2700,6670,350,32170,
530,2630,1080,4060,270,34810,
590,2530,3210,3380,250,30100,
780,2540,1740,2950,200,31630,
450,2600,1510,5360,210,28530,
490,2480,2480,4680,180,32600,
620,3010,490,3550,310,33140,
660,2990,2060,4470,180,31250,
680,2610,490,2610,190,32080,
570,2760,2300,1440,160,34430,
710,2600,2480,2860,190,36730,
580,2470,1620,2980,210,32440,
