CouchBase,Memcached,Mongo,Orient,Redis,Riak
520,2500,9110,2020,310,27300,
410,2600,10200,3470,140,29320,
450,2690,9300,3540,190,29400,
400,2540,9120,4810,210,28690,
490,2590,8130,2510,250,26880,
680,2490,6740,3220,220,27070,
680,2930,7590,2660,220,24320,
600,2570,7690,2500,170,37320,
650,2620,6700,2120,190,26460,
540,2680,6100,2380,220,22820,
670,2590,6630,3440,160,26450,
650,2510,7180,3040,220,24980,
680,2680,7080,3630,190,27710,
660,2690,6940,4400,210,28510,
630,2630,6260,4700,220,23250,
500,2470,5420,4450,180,28850,
420,2550,6910,1450,140,24360,
710,2540,7500,2130,210,22700,
810,2490,4970,3040,290,24000,
480,2890,6080,2130,200,22270,
670,2850,6850,4870,290,25510,
450,2690,4050,3100,210,22150,
480,2470,7550,2330,190,30220,
650,2470,4410,3950,200,26340,
650,2570,8490,1730,210,33100,
640,2600,7120,2280,210,25810,
700,2570,5570,3460,170,24850,
580,2670,6120,1960,200,27620,
460,2730,3700,4270,190,24260,
460,2670,12160,3590,140,26390,
620,2860,4050,2390,170,28490,
830,2950,3600,3520,240,22480,
950,3340,4840,2060,240,23320,
980,3140,4260,2390,180,25090,
880,3150,3820,1750,220,22330,
940,2640,4760,2200,210,30520,
860,2610,3570,5750,210,27010,
890,2550,4100,2120,230,25970,
810,2690,3650,3020,180,20910,
540,2630,3280,3780,180,21140,
590,2490,3850,3420,270,20450,
510,2830,2640,3210,150,28400,
640,2970,3490,7720,170,40460,
810,2420,3050,4720,230,30920,
650,2520,2560,4160,160,25070,
780,2530,4570,6480,310,23710,
540,2730,3810,3570,390,27160,
840,3630,2050,4070,280,43750,
730,3000,2160,3670,180,29030,
740,2560,2940,3790,260,24820,
710,2900,4150,5160,170,25610,
540,2650,2900,18240,260,25300,
600,2640,1840,22350,140,21370,
660,2500,2810,3430,320,20990,
430,2810,1820,4930,230,19660,
560,2590,3120,6110,160,21830,
520,2700,3450,4420,240,23730,
530,2490,3150,4000,220,25110,
510,2500,4000,2180,170,27680,
460,2660,3150,2210,170,23150,
530,2560,2730,6500,170,21390,
570,2560,3340,3710,140,34390,
910,2870,3870,4270,130,28570,
870,2550,2780,7300,160,29230,
980,2460,3430,4580,150,25820,
960,2600,2940,1770,210,26140,
870,2550,4820,3250,160,22680,
810,2560,3330,3620,170,25830,
970,2560,3690,2440,150,27010,
980,2760,3310,2630,190,24890,
780,2670,4390,2360,200,29980,
940,2510,5290,2430,300,24040,
970,2620,3070,3170,420,23850,
1080,2640,3050,4060,180,26690,
850,2540,4530,3370,260,31150,
930,2520,1800,4920,210,31860,
840,2520,2220,3270,200,21570,
890,2620,2210,3820,180,22300,
870,2550,3680,3750,220,27160,
900,2560,2520,5300,170,25980,
980,2690,2170,4370,230,29060,
860,2490,2430,5730,180,24980,
800,2580,2870,6440,220,25130,
480,2920,3000,5450,210,24650,
610,3030,3810,5690,200,24650,
580,2500,2560,3740,270,30830,
460,2580,1560,5930,170,24230,
440,2590,2560,4950,160,24330,
630,2530,5250,4320,170,22630,
530,2550,2590,4030,200,22800,
560,2600,2860,4170,220,26170,
560,2690,1290,3420,180,23960,
650,2640,2120,3350,220,29310,
600,2700,2850,2320,160,24680,
630,2490,3190,4200,180,26690,
520,2630,3570,3690,160,22400,
620,2450,2910,3380,150,26490,
490,2500,2050,1390,210,31070,
560,2800,2020,3470,190,24550,
500,2650,4500,5450,160,30620,
600,2400,2870,2430,300,24530,
550,2490,3700,3320,210,29160,
790,2710,1890,4200,340,22450,
430,2510,4190,4130,250,24010,
420,2490,3280,3770,170,26310,
470,2630,1880,7600,170,22810,
430,2720,2980,7320,190,22510,
510,2550,2090,3840,160,24060,
600,2540,3570,2840,200,31080,
680,2400,2800,3520,150,31900,
360,2460,2520,2760,150,25390,
450,2570,3500,2830,280,30990,
560,2630,3120,4440,240,24640,
580,2760,2090,3060,260,27110,
530,2660,2340,2810,240,32940,
590,2610,3430,1980,160,24650,
570,2970,2520,3140,150,24850,
430,2640,2150,2670,120,28070,
520,2640,3630,2980,140,27350,
520,2530,2200,2850,170,26450,
740,2710,2490,2610,260,23190,
780,2470,3140,3790,140,27890,
860,2510,3480,2470,130,21990,
630,2470,2170,3770,180,23700,
540,2470,1810,2990,170,30530,
570,2580,2240,3150,290,31540,
660,2480,4060,4120,250,23330,
510,2530,2880,2600,250,26020,
560,2810,2110,3090,140,27510,
710,2620,2790,5170,260,26130,
470,2640,2840,2450,190,29130,
780,2480,4180,2900,210,28980,
600,2670,2900,5980,190,24520,
660,2550,2460,5540,170,24570,
560,2560,4880,4920,210,29020,
510,2880,2000,6000,170,25510,
520,2550,2630,2600,110,23050,
430,2570,2240,3890,190,24610,
550,2650,2190,4260,210,24330,
620,2510,2700,2840,210,22240,
640,2600,2290,4640,220,25890,
480,2630,2610,4440,130,25630,
510,2780,5690,3040,170,30360,
520,2580,3000,4290,180,35130,
570,2470,2740,2160,150,22910,
490,2630,2740,2350,240,24460,
490,2680,3050,2320,160,25610,
510,2510,2250,3550,220,27360,
630,2580,3740,3090,190,26820,
570,2840,3050,2830,170,24950,
620,3200,2800,5110,180,25890,
600,2550,1980,1900,220,25170,
490,2560,2860,2720,220,29390,
510,2460,1860,2560,170,24930,
560,2500,3790,4210,230,22900,
680,2630,2420,3420,300,26990,
700,2530,2830,2180,140,22190,
1030,2610,2870,6940,200,24520,
990,2650,2650,6980,430,39570,
940,2460,2200,3980,180,24390,
940,2520,2310,6010,280,24430,
850,2640,3180,4220,220,26580,
830,2590,2650,3850,220,24170,
850,2460,2370,4450,170,24380,
1030,2440,4710,3630,210,29360,
930,2650,2530,2760,160,21300,
